2015,,,,,,,,,,,
Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
177,245,161,170,188,94,85,67,74,65,83,129
176,241,159,197,192,93,78,66,70,66,81,142
173,237,157,244,188,95,73,64,70,67,79,179
174,231,158,268,182,95,74,64,73,68,79,212
184,225,158,283,172,93,75,64,74,68,78,228
188,220,161,285,164,91,75,61,73,68,76,229
187,214,162,278,160,90,78,59,73,69,73,221
184,207,162,268,163,87,77,59,73,74,74,208
185,202,162,258,163,84,74,56,73,75,77,194
188,198,162,249,163,81,72,54,74,77,78,182
207,193,159,242,163,77,72,54,72,83,77,172
260,190,156,235,158,81,70,54,71,88,78,166
326,197,153,230,149,90,70,53,72,86,77,162
360,199,153,227,143,93,71,51,72,82,76,162
373,196,154,223,142,97,71,52,71,83,76,161
368,190,158,219,138,97,70,54,73,87,81,158
348,185,158,215,132,89,70,56,74,90,85,154
330,182,154,210,127,89,70,66,70,95,96,146
315,179,152,204,123,88,68,83,71,103,114,144
300,176,152,200,116,90,70,96,70,108,136,147
290,174,153,198,111,91,73,116,72,108,146,146
284,174,154,193,105,88,74,130,72,105,145,149
274,171,155,186,100,85,74,124,70,101,154,152
266,169,154,181,102,89,81,110,72,97,168,154
258,166,151,176,107,91,86,96,71,94,173,152
253,164,145,170,110,94,81,88,69,89,162,147
250,164,142,164,106,97,77,83,66,89,152,144
247,163,140,158,105,97,72,83,68,88,146,143
246,,140,159,103,96,70,82,66,86,136,140
249,,143,171,99,90,69,77,66,84,127,136
248,,151,,96,,68,74,,83,,134
